SiO2,Al2O3,B2O3,CaO,Na2O,Li2O,MgO,BaO,ZnO,K2O,PbO,SrO,GeO2,ZrO2,TiO2,TeO2,FemOn,P2O5,Tg
62.81295,0,20.9388,0,16.24825,0,0,0,0,0,0,0,0,0,0,0,0,0,575
64.54925,0,18.7546,0,16.69616,0,0,0,0,0,0,0,0,0,0,0,0,0,583
66.07285,0,16.88806,0,17.03908,0,0,0,0,0,0,0,0,0,0,0,0,0,588
66.72584,0,16.11685,0,17.15731,0,0,0,0,0,0,0,0,0,0,0,0,0,580
68.26891,0,14.12568,0,17.60541,0,0,0,0,0,0,0,0,0,0,0,0,0,581
62.90572,0,19.62407,0,17.4702,0,0,0,0,0,0,0,0,0,0,0,0,0,583
49.85136,0,33.00754,0,17.14111,0,0,0,0,0,0,0,0,0,0,0,0,0,551
68.92664,0,13.34869,0,17.72467,0,0,0,0,0,0,0,0,0,0,0,0,0,570
71.26183,0,10.33566,0,18.40251,0,0,0,0,0,0,0,0,0,0,0,0,0,557
73.82651,0,7.185647,0,18.98785,0,0,0,0,0,0,0,0,0,0,0,0,0,534
53.7974,0,27.70467,0,18.49793,0,0,0,0,0,0,0,0,0,0,0,0,0,565
74.95611,0,5.713966,0,19.32992,0,0,0,0,0,0,0,0,0,0,0,0,0,525
59.83713,0,21.24746,0,18.91541,0,0,0,0,0,0,0,0,0,0,0,0,0,574
76.65395,0,3.552783,0,19.79328,0,0,0,0,0,0,0,0,0,0,0,0,0,504
57.80078,0,22.32475,0,19.87447,0,0,0,0,0,0,0,0,0,0,0,0,0,573
55.77187,0,23.39811,0,20.83002,0,0,0,0,0,0,0,0,0,0,0,0,0,566
61.86275,0,16.86609,0,21.27115,0,0,0,0,0,0,0,0,0,0,0,0,0,565
51.73625,0,25.53308,0,22.73067,0,0,0,0,0,0,0,0,0,0,0,0,0,552
49.72945,0,26.59474,0,23.6758,0,0,0,0,0,0,0,0,0,0,0,0,0,547
